procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  53412 732040 1307760 58115152    0    0     0  1539 5800 9013  4  1 95  0  0
 0  0  53412 732056 1307760 58115116    0    0     0   553 6696 10808  5  1 94  0  0
 3  0  53412 721956 1307760 58115760    0    0     0  1582 6163 9591  5  1 94  0  0
 0  0  53412 718984 1307760 58114816    0    0     0   550 5709 9076  4  1 95  0  0
 0  0  53412 729640 1307760 58115180    0    0     0   505 6366 10175  4  1 95  0  0
 0  0  53412 718872 1307760 58115116    0    0     0  1988 6538 9806  5  1 94  0  0
 0  0  53412 729376 1307760 58115024    0    0     0   633 7205 11597  5  1 94  0  0
 2  0  53412 710188 1307760 58115080    0    0     0  4076 7469 11451  4  1 94  1  0
 1  0  53412 722904 1307760 58114988    0    0     0   902 7141 10680  5  1 94  1  0
 0  0  53412 708516 1307760 58115076    0    0     0  1042 7755 12043  4  1 94  1  0
 0  0  53412 713840 1307760 58115452    0    0     0  2248 6463 9595  4  1 95  0  0
 0  0  53412 724544 1307760 58115508    0    0     0   767 9370 14510  5  1 93  1  0
 0  0  53412 720432 1307760 58115468    0    0     0   705 6272 9418  4  1 95  0  0
 1  0  53412 714748 1307760 58115404    0    0     0  2142 7745 12029  4  1 95  1  0
 0  0  53412 719176 1307760 58115592    0    0     0   625 5948 9293  4  1 95  0  0
 0  0  53412 717296 1307760 58115248    0    0     0   623 6193 9851  3  1 96  0  0
 4  0  53412 719656 1307760 58115332    0    0     0  2055 6764 10762  4  1 95  0  0
 1  0  53412 721444 1307760 58115220    0    0     0  3004 6418 10067  4  1 94  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  53412 699928 1307760 58115324    0    0     0  1564 7535 11797  4  1 95  1  0
 0  0  53412 709272 1307760 58115708    0    0     0  2273 6583 9867  4  1 95  0  0
 0  0  53412 708792 1307760 58116368    0    0     0   871 7147 10571  5  1 94  1  0
 0  0  53412 695020 1307760 58116036    0    0     0   838 7726 11792  5  1 94  1  0
 0  0  53412 717916 1307760 58115976    0    0     0  2030 6590 9882  5  1 94  0  0
 0  0  53412 733268 1307760 58116284    0    0     0   891 8754 13957  5  1 94  1  0
 0  0  53412 721832 1307760 58115772    0    0     0   814 6414 9682  4  1 95  0  0
 1  0  53412 711924 1307760 58116072    0    0     0  2276 6664 9926  4  1 94  0  0
 0  0  53412 719280 1307760 58116280    0    0     0   851 7928 11990  5  1 94  1  0
 0  0  53412 719368 1307760 58116152    0    0     0   712 6644 9869  4  1 95  0  0
 0  0  53412 713140 1307760 58116544    0    0     0  2348 7980 12296  5  1 93  1  0
 0  0  53412 717796 1307760 58116332    0    0     0   690 6303 9662  5  1 94  0  0
 0  0  53412 715212 1307760 58116168    0    0     0   697 6212 9614  5  1 94  0  0
 0  0  53412 721304 1307760 58116264    0    0     0  1975 7048 11295  5  1 94  0  0
 0  0  53412 715840 1307760 58116316    0    0     0   644 6162 9656  4  1 95  0  0
 3  1  53412 709712 1307760 58116360    0    0     0  1887 7497 12130  5  1 94  0  0
 1  0  53412 718508 1307760 58116732    0    0     0   778 7102 10457  5  1 94  0  0
 1  0  53412 715856 1307760 58116624    0    0     0   813 8329 12676  6  1 92  0  0
 3  0  53412 709904 1307760 58116564    0    0     0  2059 7564 11582  5  1 94  0  0
 6  1  53412 718744 1307760 58110564    0    0     0   830 7138 10535  5  1 94  0  0
 1  0  53412 726012 1307760 58116732    0    0     0   807 7946 11858  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  53412 716644 1307760 58116620    0    0     0  2337 6662 10006  4  1 95  1  0
 2  0  53412 711436 1307760 58116700    0    0     0   681 6401 9455  4  1 95  0  0
 1  0  53412 705412 1307760 58116624    0    0     0  1661 7831 11971  4  1 94  1  0
 2  0  53412 702136 1307760 58116600    0    0     0   725 6910 10344  4  1 95  0  0
 1  0  53412 697040 1307760 58116876    0    0     0   722 7921 12290  5  1 94  1  0
 1  0  53412 693892 1307760 58117476    0    0     0  1709 6948 10344  5  1 94  0  0
 0  0  53412 708336 1307760 58117276    0    0     0   773 6566 10266  4  1 95  0  0
 0  0  53412 706540 1307760 58117040    0    0     0  1596 7244 11337  4  1 94  0  0
 0  0  53412 730040 1307760 58117380    0    0     0   703 8155 12295  6  1 92  0  0
 1  0  53412 716544 1307760 58118192    0    0   210  1604 6607 10026  4  1 95  0  0
 0  0  53412 707976 1307760 58118076    0    0     0   774 5602 8735  4  1 95  0  0
 1  0  53412 702372 1307760 58117928    0    0     0  1515 4618 7185  2  0 97  0  0
 1  0  53412 700340 1307760 58117932    0    0     0   745 6099 9335  3  1 96  0  0
 4  0  53412 693772 1307760 58117696    0    0     0  1301 5437 8349  3  1 96  0  0
 0  0  53412 698196 1307760 58117804    0    0     0   745 6581 10385  4  1 95  0  0
 1  0  53412 695524 1307760 58117592    0    0     0  1557 5170 7868  2  1 96  0  0
 0  0  53412 697616 1307760 58117756    0    0     0   690 4578 7267  2  0 97  0  0
 1  0  53412 681812 1307760 58135972    0    0     0  1603 8058 12202  5  1 93  0  0
 1  0  53412 716248 1307760 58117732    0    0     6   704 5964 8984  4  1 95  0  0
 1  0  53412 715660 1307760 58117712    0    0     0  1587 5577 9029  2  1 97  0  0
 0  1  53412 764992 1307336 58062352    0   24     0   663 7450 11414  5  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  53412 758584 1307336 58062360    0    0     7  1727 5770 8699  4  1 95  0  0
 0  0  53412 759348 1307336 58062272    0    0     0   630 6041 9719  2  1 97  0  0
 0  2  53412 759220 1307336 58062944    0    0     0  2959 6015 9068  4  1 94  1  0
 1  0  53412 768920 1307336 58063216    0    0    10  2822 6514 10352  4  1 95  1  0
 3  0  53412 767584 1307336 58063380    0    0     0  1603 6003 8883  4  1 95  0  0
 0  0  53412 762500 1307336 58063444    0    0     0   769 5299 8108  3  1 96  0  0
 2  1  53412 763180 1307336 58063460    0    0     0  1828 6003 9553  3  1 96  0  0
 1  0  53412 761860 1307336 58062964    0    0     0   714 6168 9403  4  1 95  0  0
 2  0  53412 771000 1307336 58063156    0    0     0  1554 6077 9425  4  1 95  0  0
 1  1  53412 770392 1307336 58063616    0    0     0   627 4702 7243  3  0 96  0  0
 0  0  53412 771044 1307336 58063248    0    0     0  1414 4548 7153  3  0 97  0  0
 3  0  53412 788564 1307336 58063968    0    0     0   610 7976 12900  6  1 93  0  0
